name,URI,synonym,comment,superclass,asserts
neuron,http://purl.obolibrary.org/obo/CL_0000540,nerve cell,These cells are also reportedly CD4-negative and CD200-positive. They are also capable of producing CD40L and IFN-gamma.,http://purl.obolibrary.org/obo/CL_0002319,
neuron,http://purl.obolibrary.org/obo/CL_0000540,nerve cell,These cells are also reportedly CD4-negative and CD200-positive. They are also capable of producing CD40L and IFN-gamma.,http://purl.obolibrary.org/obo/CL_0000393,
neuron,http://purl.obolibrary.org/obo/CL_0000540,nerve cell,These cells are also reportedly CD4-negative and CD200-positive. They are also capable of producing CD40L and IFN-gamma.,http://purl.obolibrary.org/obo/CL_0000404,
neuron,http://purl.obolibrary.org/obo/CL_0000540,nerve cell,These cells are also reportedly CD4-negative and CD200-positive. They are also capable of producing CD40L and IFN-gamma.,,http://purl.obolibrary.org/obo/GO_0019226
"olfactory projection neuron innervating DA1, VA1d or DC3 glomerulus",http://purl.obolibrary.org/obo/CL_0000127,astrocytic glia,"Astrocytes are reportedly CD68-negative, CD121a-positive, CD184-positive, CD192-positive, CRF-positive, EGFR-positive, GFAP-positive, GLUT1-positive, MBP-negative, and NGFR-positive.",http://purl.obolibrary.org/obo/CL_0000126,
astrocyte,http://purl.obolibrary.org/obo/CL_0000127,astrocytic glia,"Astrocytes are reportedly CD68-negative, CD121a-positive, CD184-positive, CD192-positive, CRF-positive, EGFR-positive, GFAP-positive, GLUT1-positive, MBP-negative, and NGFR-positive.",http://purl.obolibrary.org/obo/CL_0000126,
long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,LT stem cell,Markers are associated with mouse cells.,http://purl.obolibrary.org/obo/CL_0001008,
long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,LT stem cell,Markers are associated with mouse cells.,,http://purl.obolibrary.org/obo/PR_000001003
long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,LT stem cell,Markers are associated with mouse cells.,,http://purl.obolibrary.org/obo/PR_000002001
long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,LT stem cell,Markers are associated with mouse cells.,,http://purl.obolibrary.org/obo/PR_000001843
long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,LT stem cell,Markers are associated with mouse cells.,,http://purl.obolibrary.org/obo/PR_000001833
long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,LT stem cell,Markers are associated with mouse cells.,,http://purl.obolibrary.org/obo/PR_000001003
long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,LT stem cell,Markers are associated with mouse cells.,,http://purl.obolibrary.org/obo/PR_000002001
long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,LT stem cell,Markers are associated with mouse cells.,,http://purl.obolibrary.org/obo/PR_000001843
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,http://purl.obolibrary.org/obo/CL_0008001,
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001289
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001839
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001289
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001084
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001084
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001004
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001083
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001839
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001004
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001869
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001083
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001889
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000002978
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001869
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001889
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001003
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000002978
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001003
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000002981
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001002
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001024
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PATO_0001402
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001002
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PATO_0001402
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001020
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/CL_0000037
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001024
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001012
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001020
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000002981
hematopoietic multipotent progenitor cell,http://purl.obolibrary.org/obo/CL_0000837,hemopoietic progenitor cell,Markers differ between mouse and human.,,http://purl.obolibrary.org/obo/PR_000001012
short term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002033,ST-HSC,Markers are associated with mouse cells. These cells are also reportedly CD11b-low and CD90-low.,http://purl.obolibrary.org/obo/CL_0001008,
short term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002033,ST-HSC,Markers are associated with mouse cells. These cells are also reportedly CD11b-low and CD90-low.,,http://purl.obolibrary.org/obo/PR_000001833
short term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002033,ST-HSC,Markers are associated with mouse cells. These cells are also reportedly CD11b-low and CD90-low.,,http://purl.obolibrary.org/obo/CL_0002034
short term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002033,ST-HSC,Markers are associated with mouse cells. These cells are also reportedly CD11b-low and CD90-low.,,http://purl.obolibrary.org/obo/PR_000002001
short term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002033,ST-HSC,Markers are associated with mouse cells. These cells are also reportedly CD11b-low and CD90-low.,,http://purl.obolibrary.org/obo/PR_000001003
short term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002033,ST-HSC,Markers are associated with mouse cells. These cells are also reportedly CD11b-low and CD90-low.,,http://purl.obolibrary.org/obo/PR_000002001
short term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002033,ST-HSC,Markers are associated with mouse cells. These cells are also reportedly CD11b-low and CD90-low.,,http://purl.obolibrary.org/obo/PR_000001003
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",http://purl.obolibrary.org/obo/CL_0000763,
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",http://purl.obolibrary.org/obo/CL_0001012,
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",http://purl.obolibrary.org/obo/CL_0011026,
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",http://purl.obolibrary.org/obo/CL_1001610,
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/PR_000001865
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/PR_000001944
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/PR_000007858
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/PR_000007857
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/GO_0030851
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/GO_0030225
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/UBERON_0002371
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/PR_000005307
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/PR_000001865
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/PR_000001944
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/GO_0030851
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/PR_000007858
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/PR_000007857
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/GO_0030225
granulocyte macrophage progenitor,http://purl.obolibrary.org/obo/CL_0000557,colony forming unit granulocyte macrophage,"Originally described in the dendritic cell ontology (DC_CL:0000042)(PMID:19243617). GMPs are reportedly CD16-positive, CD32-positive, CD34-positive, CD38-positive, CD45RA-positive, CD110-negative, CD117-positive, CD123-positive, and SCA1-negative.",,http://purl.obolibrary.org/obo/PR_000005307
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",http://purl.obolibrary.org/obo/CL_0011026,
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",http://purl.obolibrary.org/obo/CL_0000837,
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/PR_000001460
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/PR_000001024
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/CL_0002035
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/GO_0030098
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/PR_000002979
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/PR_000002065
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/PR_000002001
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/PR_000002979
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/GO_0030098
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/PR_000001460
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/PR_000002065
lymphoid-primed multipotent progenitor,http://purl.obolibrary.org/obo/CL_0000936,ELP,"Markers are associated with mouse cells. ELP transcription factors include E2A-positive, Ikaros-positive, EBF-negative, Pax5-negative, PU.1-negative.",,http://purl.obolibrary.org/obo/PR_000002001
thymic T cell,http://purl.obolibrary.org/obo/CL_0002419,mature T-cell,,http://purl.obolibrary.org/obo/CL_0000084,
thymic T cell,http://purl.obolibrary.org/obo/CL_0002419,mature T-cell,,,http://purl.obolibrary.org/obo/GO_0045058
thymic T cell,http://purl.obolibrary.org/obo/CL_0002419,mature T-cell,,,http://purl.obolibrary.org/obo/GO_0042101
thymic T cell,http://purl.obolibrary.org/obo/CL_0002419,mature T-cell,,,http://purl.obolibrary.org/obo/GO_0042101
thymic T cell,http://purl.obolibrary.org/obo/CL_0002419,mature T-cell,,,http://purl.obolibrary.org/obo/GO_0045058
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",http://purl.obolibrary.org/obo/CL_0011026,
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",http://purl.obolibrary.org/obo/CL_0000723,
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",http://purl.obolibrary.org/obo/CL_0008001,
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",,http://purl.obolibrary.org/obo/PR_000001889
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",,http://purl.obolibrary.org/obo/PR_000001084
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",,http://purl.obolibrary.org/obo/PR_000001020
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",,http://purl.obolibrary.org/obo/PR_000001024
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",,http://purl.obolibrary.org/obo/PR_000001002
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",,http://purl.obolibrary.org/obo/PR_000001012
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",,http://purl.obolibrary.org/obo/PR_000001839
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",,http://purl.obolibrary.org/obo/PR_000001289
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",,http://purl.obolibrary.org/obo/PR_000001839
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",,http://purl.obolibrary.org/obo/PR_000001002
mature T cell,http://purl.obolibrary.org/obo/CL_0000037,blood forming stem cell,"Markers differ between species, and two sets of markers have been described for mice. HSCs are reportedly CD34-positive, CD45-positive, CD48-negative, CD150-positive, CD133-positive, and CD244-negative.",,http://purl.obolibrary.org/obo/CL_0000566
